Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2021-10-02,Illan Meslier,Matchweek 7,Home,W 1–0,Leeds United,Watford,Y,GK,90,1,0,1,100,1,0.2,0,0,0,0,3,5,60,29,4,17.2,25.6,6,0,17.7,5,0,0,2,19
2021-10-16,Illan Meslier,Matchweek 8,Away,L 0–1,Leeds United,Southampton,Y,GK,90,4,1,3,75,0,1.1,0,0,0,0,6,18,33.3,37,3,37.8,34.3,15,26.7,29.6,8,0,0,2,21
2021-10-23,Illan Meslier,Matchweek 9,Home,D 1–1,Leeds United,Wolves,Y,GK,90,4,1,3,75,0,0.9,0,0,0,0,2,5,40,22,5,22.7,27.3,4,0,18,2,0,0,4,26.8
2021-10-31,Illan Meslier,Matchweek 10,Away,W 2–1,Leeds United,Norwich City,Y,GK,90,3,1,2,66.7,0,1.1,0,0,0,0,6,18,33.3,27,11,44.4,39.3,9,66.7,50.6,8,1,12.5,1,12.7
2021-11-07,Illan Meslier,Matchweek 11,Home,D 1–1,Leeds United,Leicester City,Y,GK,90,3,1,2,66.7,0,1.8,0,0,0,0,6,11,54.5,24,7,29.2,29,10,40,38.2,1,0,0,0,15
2021-11-21,Illan Meslier,Matchweek 12,Away,L 1–2,Leeds United,Tottenham,Y,GK,90,4,2,1,50,0,1.8,0,0,0,0,4,18,22.2,38,5,42.1,35.8,3,66.7,45.3,6,1,16.7,1,16.8
2021-11-27,Illan Meslier,Matchweek 13,Away,D 0–0,Leeds United,Brighton,Y,GK,90,4,0,3,100,1,1.1,0,0,0,0,3,28,10.7,31,4,54.8,43.6,12,91.7,65,12,0,0,0,10.8
2021-11-30,Illan Meslier,Matchweek 14,Home,W 1–0,Leeds United,Crystal Palace,Y,GK,90,1,0,1,100,1,0.2,0,0,0,0,3,6,50,29,5,20.7,27,10,0,19.8,8,0,0,1,11.8
2021-12-05,Illan Meslier,Matchweek 15,Home,D 2–2,Leeds United,Brentford,Y,GK,90,3,2,1,33.3,0,1.5,0,0,0,0,1,10,10,21,8,33.3,34.5,5,60,43.2,8,1,12.5,3,18.8
2021-12-11,Illan Meslier,Matchweek 16,Away,L 2–3,Leeds United,Chelsea,Y,GK,90,4,3,3,75,0,2.6,2,2,0,0,5,14,35.7,31,5,35.5,32.1,7,42.9,36.7,7,2,28.6,0,10
2021-12-14,Illan Meslier,Matchweek 17,Away,L 0–7,Leeds United,Manchester City,Y,GK,90,15,7,8,53.3,0,4.2,0,0,0,0,3,15,20,32,7,34.4,33,12,33.3,37.9,3,0,0,0,12.8
2021-12-18,Illan Meslier,Matchweek 18,Home,L 1–4,Leeds United,Arsenal,Y,GK,90,12,4,8,66.7,0,2.5,0,0,0,0,5,13,38.5,33,6,36.4,34,5,20,23.2,1,0,0,2,24
2022-02-23,Illan Meslier,Matchweek 19,Away,L 0–6,Leeds United,Liverpool,Y,GK,90,12,6,8,66.7,0,5.1,2,2,0,0,8,25,32,33,11,51.5,37.9,10,80,57.6,6,0,0,1,12.6
2022-03-10,Illan Meslier,Matchweek 20,Home,L 0–3,Leeds United,Aston Villa,Y,GK,90,9,3,6,66.7,0,3.1,0,0,0,0,1,3,33.3,14,4,21.4,28.1,5,0,14,8,0,0,1,29
2022-01-02,Illan Meslier,Matchweek 21,Home,W 3–1,Leeds United,Burnley,Y,GK,90,2,1,1,50,0,0.9,0,0,0,0,5,13,38.5,25,6,36,34.2,9,44.4,33.4,8,1,12.5,0,10.8
2022-01-16,Illan Meslier,Matchweek 22,Away,W 3–2,Leeds United,West Ham,Y,GK,90,5,2,3,60,0,1.5,0,0,0,0,3,14,21.4,33,2,27.3,28.9,11,45.5,39.9,15,0,0,1,12.2
2022-01-22,Illan Meslier,Matchweek 23,Home,L 0–1,Leeds United,Newcastle Utd,Y,GK,90,3,1,2,66.7,0,1.3,0,0,0,0,4,8,50,29,5,20.7,24.9,5,40,34.6,5,0,0,1,12.8
2022-02-09,Illan Meslier,Matchweek 24,Away,D 3–3,Leeds United,Aston Villa,Y,GK,90,4,3,1,25,0,2.6,0,0,0,0,2,7,28.6,21,8,28.6,33,7,14.3,27.7,5,1,20,0,14.3
2022-02-12,Illan Meslier,Matchweek 25,Away,L 0–3,Leeds United,Everton,Y,GK,90,10,3,7,70,0,2.6,0,0,0,0,5,9,55.6,31,13,29,31.4,7,0,21.3,1,0,0,2,15.4
2022-02-20,Illan Meslier,Matchweek 26,Home,L 2–4,Leeds United,Manchester Utd,Y,GK,90,9,4,5,55.6,0,2.5,0,0,0,0,3,13,23.1,34,9,38.2,34.4,4,0,17.5,7,0,0,0,7.8
2022-02-26,Illan Meslier,Matchweek 27,Home,L 0–4,Leeds United,Tottenham,Y,GK,90,10,4,6,60,0,3.1,0,0,0,0,4,6,66.7,17,8,29.4,32.4,2,50,41.5,3,1,33.3,0,9.2
